t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
96	422	422	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	44	44	42	42	29	29	42	42	34	34	37	37	44	44	49	49	44	44	
97	430	430	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	37	37	26	26	49	49	37	37	36	36	55	55	50	50	38	38	42	42	
98	407	407	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	44	44	18	18	12	12	53	53	32	32	50	50	43	43	42	42	54	54	
99	386	386	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	58	58	27	27	19	19	40	40	39	39	32	32	52	52	37	37	41	41	41	41	
100	403	403	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	32	32	18	18	35	35	37	37	36	36	48	48	64	64	43	43	37	37	
101	429	429	 600	10	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	37	37	32	32	38	38	58	58	34	34	51	51	43	43	45	45	41	41	
102	426	426	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	31	31	32	32	36	36	66	66	36	36	45	45	44	44	50	50	41	41	
103	396	396	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	23	23	26	26	32	32	39	39	32	32	55	55	54	54	33	33	43	43	
104	425	425	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	58	58	44	44	29	29	28	28	43	43	32	32	69	69	45	45	44	44	33	33	
105	400	400	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	36	36	27	27	25	25	39	39	39	39	40	40	56	56	50	50	36	36	
106	444	444	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	46	46	43	43	41	41	53	53	30	30	55	55	56	56	20	20	44	44	
107	437	437	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	80	80	30	30	31	31	34	34	42	42	45	45	35	35	54	54	44	44	42	42	
108	434	434	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	75	75	40	40	30	30	34	34	26	26	39	39	49	49	63	63	31	31	47	47	
109	434	434	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	69	69	35	35	36	36	17	17	45	45	35	35	55	55	56	56	41	41	45	45	
110	416	416	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	74	74	32	32	20	20	50	50	29	29	41	41	49	49	69	69	24	24	28	28	
111	381	381	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	31	31	29	29	23	23	42	42	22	22	50	50	62	62	29	29	38	38	
112	419	419	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	50	50	29	29	24	24	37	37	37	37	49	49	60	60	36	36	47	47	
113	441	441	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71	71	39	39	31	31	32	32	26	26	38	38	50	50	58	58	42	42	54	54	
114	399	399	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	31	31	18	18	29	29	42	42	37	37	60	60	47	47	39	39	44	44	
115	406	406	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	40	40	26	26	32	32	47	47	38	38	45	45	34	34	39	39	38	38	
116	428	428	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	37	37	33	33	38	38	26	26	39	39	60	60	41	41	54	54	35	35	
